Product Title,Image URL,Category,Collection,Price PKR
Antique Small Bowl - Set of 2,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/4BFB1262-9788-4195-8636-72C96A19B9B6.jpg?v=1772728208,Bowls,Antique,44.00
Blue Flower Bowl with Cap,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/F5E18737-BC5C-4C8A-A200-2671554FFA2A.jpg?v=1771904435,Bowls,Blue Pattern,35.00
New Multi Soup Bowl - Set of 2,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/5758CA33-AEF6-4729-B507-EBDB4BA51142.jpg?v=1771904431,Bowls,Other Collections,48.00
Blue Flower Small Bowl - Set of 2,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/AE08F192-F0BD-4681-98EC-BA4E86F2BD98.jpg?v=1771904426,Bowls,Blue Pattern,45.00
Bowl Set (BC-I),https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_f63321f4-3d73-426d-8a98-7696ea04401c-removebg-preview.png?v=1771904410,Bowls,Other Collections,120.00
Handmade Ceramics Curry Bowl with Lid,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/1_0039_tevtashahdraprodcuts0387-removebg-preview.png?v=1771904404,Bowls,Other Collections,50.00
White Floral Handi/Traditional Pot|Blue Pottery,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_9f05b565-d2f2-4234-9e75-e4f46ba986ff-removebg-preview.png?v=1771904373,Bowls,Blue Pattern,50.00
Triangle Dish,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/8-removebg-preview_d5b9abed-7189-4efa-b5a7-2b7f55675ca6.png?v=1771904343,Bowls,Other Collections,45.00
Set of 2 Classic Blue Bowls,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_f64d6601-3997-4ec1-a722-e66128609eb0_200x200-removebg-preview.png?v=1771904317,Bowls,Blue Pattern,30.00
Bowl,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/78-removebg-preview.png?v=1771904294,Bowls,Other Collections,45.00
Onyx Bowl,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/70-removebg-preview.png?v=1771904283,Bowls,Other Collections,30.00
Bowl,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/49-removebg-preview.png?v=1771904250,Bowls,Other Collections,45.00
Bowl,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/21-removebg-preview.png?v=1771904221,Bowls,Other Collections,45.00
Bowl,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/17-removebg-preview.png?v=1771904217,Bowls,Other Collections,45.00
Bowl,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/Mna8rMkeMCAJ7WgFuZb6rW3UntkqxpoDFF5O1U7m-removebg-preview.png?v=1771904189,Bowls,Other Collections,45.00
