Title,Handle,Price,Original_Price,Category,Image_URL
Mug Large - Set of 2,mug-large-set-of-2,28.00,,Home & Garden > Kitchen & Dining > Tableware > Coffee & Tea Sets > Tea Sets,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/MugLarge-Setof2.jpg?v=1773070762
Antique Small Bowl - Set of 2,antique-small-bowl-set-of-2,44.00,,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Bowls,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/4BFB1262-9788-4195-8636-72C96A19B9B6.jpg?v=17...
Blue Pattern Large Square Dish,blue-pattern-large-square-dish,30.00,,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Platters,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/987276C9-CD89-406B-A775-371A0EBBDCB6.jpg?v=17...
Blue Pattern Oval Dish,blue-pattern-oval-dish,48.00,,Home & Garden > Kitchen & Dining > Tableware > Serveware,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/9198B970-B4F5-4840-93F0-A1205C17184C.jpg?v=17...
Blue Pattern Small Serving Dish,blue-pattern-small-serving-dish,44.00,,Home & Garden > Kitchen & Dining > Tableware > Serveware,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/3B0FB537-9E28-4B0F-B37E-ABFB33D4AB42.jpg?v=17...
Blue Pattern Medium Serving Dish,blue-pattern-medium-serving-dish,48.00,,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Platters,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/B62449F4-499D-4D48-8980-E399C85945C7.jpg?v=17...
Blue Pattern Large Serving Dish,blue-pattern-large-serving-dish,50.00,,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Platters,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/867AC1C3-C793-44BE-93A4-605F4EF0436F.jpg?v=17...
Blue Pattern Quarter Plate,blue-pattern-quarter-plate,28.00,,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/54579BB5-810D-4A3A-B500-518E7B9BB84D.jpg?v=17...
Blue Pattern Dinner plate,blue-pattern-dinner-plate,30.00,,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/D061405E-4E93-44C8-BD1D-643B3C4625B7.jpg?v=17...
Kashmir Multi Medium Rectangle Dish,kashmir-multi-medium-rectangle-dish,48.00,,Home & Garden > Kitchen & Dining > Tableware > Serveware,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/6B441C03-A362-42F4-9FB4-737E0F88CF57.jpg?v=17...
Blue Felicity Ash Tray,blue-felicity-ash-tray,35.00,,Home & Garden > Smoking Accessories > Ashtrays,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/096A38D3-D334-4CDA-9965-F11EB15C0234.jpg?v=17...
Blue Flower Bowl with Cap,blue-flower-bowl-with-cap,35.00,,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Bowls,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/F5E18737-BC5C-4C8A-A200-2671554FFA2A.jpg?v=17...
