Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Beae product countdown end at (product.metafields.beae.countdown),Beae product countdown start at (product.metafields.beae.countdown_from),EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Color (product.metafields.shopify.color-pattern),Decoration material (product.metafields.shopify.decoration-material),Drinkware material (product.metafields.shopify.drinkware-material),Material (product.metafields.shopify.material),Shape (product.metafields.shopify.shape),Tableware material (product.metafields.shopify.tableware-material),Vase shape (product.metafields.shopify.vase-shape),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
mug-large-set-of-2,Mug Large - Set of 2,"<div style=""background: linear-gradient(to bottom, #f0f9ff, #e0f2fe); padding: 50px 25px; font-family: 'Helvetica Neue', Arial, sans-serif;"">
<div style=""max-width: 900px; margin: 0 auto;"">
<div style=""text-align: center; margin-bottom: 40px;"">
<h1 style=""color: #075985; font-size: 44px; font-weight: bold; margin: 0 0 10px 0;"">Large Mug Set - Set of 2</h1>
<p style=""color: #0369a1; font-size: 18px; margin: 0; font-weight: 500;"">Blue Pottery Handcrafted Collection</p>
</div>
<div style=""background: white; padding: 35px; border-radius: 12px; box-shadow: 0 4px 15px rgba(0,0,0,0.08); margin-bottom: 30px;"">
<p style=""font-size: 17px; line-height: 1.9; color: #475569; text-align: center; margin: 0;"">Enjoy your favorite beverages in style with this beautiful set of two large mugs featuring Blue Pottery designs, handcrafted by skilled artisans in Pakistan. Perfect for coffee, tea, or hot chocolate, these generous-sized mugs bring traditional artistry to your daily routine. Each mug showcases intricate hand-painted patterns that celebrate Pakistani craftsmanship and add cultural elegance to your table.</p>
</div>
<div style=""display: flex; flex-wrap: wrap; gap: 20px; margin: 35px 0;"">
<div style=""flex: 1; min-width: 250px; background: #dbeafe; padding: 25px; border-radius: 10px; border-top: 3px solid #0284c7;"">
<h3 style=""color: #0369a1; margin: 0 0 12px 0; font-size: 16px; text-transform: uppercase; letter-spacing: 0.5px;"">☕ Design</h3>
<p style=""color: #475569; margin: 0; line-height: 1.7;"">Large mugs with hand-painted Blue Pottery patterns, set of 2</p>
</div>
<div style=""flex: 1; min-width: 250px; background: #dbeafe; padding: 25px; border-radius: 10px; border-top: 3px solid #0284c7;"">
<h3 style=""color: #0369a1; margin: 0 0 12px 0; font-size: 16px; text-transform: uppercase; letter-spacing: 0.5px;"">🏺 Material</h3>
<p style=""color: #475569; margin: 0; line-height: 1.7;"">Premium ceramic with traditional blue pottery glaze</p>
</div>
<div style=""flex: 1; min-width: 250px; background: #dbeafe; padding: 25px; border-radius: 10px; border-top: 3px solid #0284c7;"">
<h3 style=""color: #0369a1; margin: 0 0 12px 0; font-size: 16px; text-transform: uppercase; letter-spacing: 0.5px;"">🎨 Craft</h3>
<p style=""color: #475569; margin: 0; line-height: 1.7;"">Traditional Pakistani artisan techniques, individually crafted</p>
</div>
</div>
<div style=""background: white; padding: 35px; border-radius: 12px; box-shadow: 0 4px 15px rgba(0,0,0,0.08); margin-bottom: 30px;"">
<h2 style=""color: #075985; text-align: center; margin: 0 0 25px 0; font-size: 26px;"">Perfect For</h2>
<p style=""color: #475569; font-size: 16px; line-height: 1.8; text-align: center; margin: 0;"">This handcrafted mug set is ideal for daily use, morning coffee, tea time, or as a thoughtful gift for friends and family. The generous size makes them perfect for your favorite hot beverages, while the beautiful designs add cultural charm to your kitchen or dining table.</p>
</div>
<div style=""background: linear-gradient(to right, #e0f2fe, #bae6fd); padding: 30px; border-radius: 12px; border-left: 4px solid #0284c7;"">
<h3 style=""color: #075985; margin: 0 0 15px 0; font-size: 20px;"">Care Instructions</h3>
<p style=""color: #475569; margin: 0; font-size: 16px; line-height: 1.8;"">To maintain the beauty of your Blue Pottery mugs, hand wash them gently with mild soap and water, then dry thoroughly. Handle them with care to preserve the delicate hand-painted details and avoid harsh chemicals or abrasive cleaners. Keep the pieces away from direct sunlight to prevent fading. Each mug is individually crafted, making this set a unique addition to your collection.</p>
</div>
</div>
</div>",Royal Blue Potters,Home & Garden > Kitchen & Dining > Tableware > Coffee & Tea Sets > Tea Sets,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,11,deny,manual,28.00,,false,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/7006/6210/files/MugLarge-Setof2.jpg?v=1773070762,1,"",false,,,,,,,floral,,ceramic,,,,,,,,,,kg,,,active
antique-small-bowl-set-of-2,Antique Small Bowl - Set of 2,"<p><meta charset=""UTF-8""> <meta content=""width=device-width, initial-scale=1.0"" name=""viewport""></p>
<style>
        /* simple reset & typography to match Shopify admin vibe */
        body {
            background: #f6f6f8;
            display: flex;
            justify-content: center;
            font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, Helvetica, Arial, sans-serif;
            padding: 30px 20px;
            margin: 0;
        }
        .product-card {
            max-width: 1000px;
            width: 100%;
            background: #ffffff;
            border-radius: 18px;
            box-shadow: 0 2px 10px rgba(0,0,0,0.04);
            overflow: hidden;
        }
        /* header like shopify admin top bar */
        .shopify-header {
            display: flex;
            align-items: center;
            padding: 16px 24px;
            background: #ffffff;
            border-bottom: 1px solid #e3e5e8;
        }
        .shopify-header svg {
            width: 28px;
            margin-right: 12px;
        }
        .shopify-header span {
            font-weight: 600;
            font-size: 18px;
            color: #202223;
        }
        .product-main {
            padding: 24px;
        }
        .title-section {
            display: flex;
            align-items: center;
            justify-content: space-between;
            margin-bottom: 28px;
            border-bottom: 1px solid #e1e3e5;
            padding-bottom: 18px;
        }
        .title-section h1 {
            font-size: 28px;
            font-weight: 500;
            color: #000000;
            margin: 0;
            letter-spacing: -0.2px;
        }
        .status-badge {
            background: #e4e5e7;
            padding: 6px 18px;
            border-radius: 30px;
            font-size: 14px;
            font-weight: 500;
            color: #2c2d30;
        }
        .columns-2 {
            display: flex;
            gap: 30px;
            flex-wrap: wrap;
        }
        .left-column {
            flex: 2;
            min-width: 320px;
        }
        .right-column {
            flex: 1.2;
            min-width: 260px;
        }
        /* meta card styling */
        .meta-card {
            background: #fafbfb;
            border: 1px solid #e1e3e5;
            border-radius: 12px;
            padding: 20px;
            margin-bottom: 24px;
        }
        .meta-card h3 {
            font-size: 15px;
            text-transform: uppercase;
            letter-spacing: 0.4px;
            color: #5c5f62;
            font-weight: 500;
            margin: 0 0 16px 0;
            display: flex;
            align-items: center;
            gap: 6px;
        }
        .meta-card h3 svg {
            opacity: 0.5;
        }
        .editor-toolbar {
            background: #ffffff;
            border: 1px solid #c9cccf;
            border-radius: 8px 8px 0 0;
            padding: 10px 14px;
            display: flex;
            gap: 12px;
            border-bottom: none;
            align-items: center;
        }
        .editor-toolbar span {
            font-weight: 600;
            color: #5c5f62;
            font-size: 13px;
        }
        .toolbar-icons {
            display: flex;
            gap: 8px;
            color: #2c2d30;
            font-weight: 500;
        }
        .toolbar-icons i {
            font-style: normal;
            background: #f1f3f5;
            padding: 4px 8px;
            border-radius: 6px;
            font-size: 13px;
        }
        .rich-text-area {
            background: #ffffff;
            border: 1px solid #c9cccf;
            border-radius: 0 0 8px 8px;
            padding: 24px;
            border-top: 1px solid #d2d5d8;
        }
        .rich-text-area p {
            margin: 0 0 20px 0;
            line-height: 1.6;
            color: #202223;
        }
        .rich-text-area p:last-child {
            margin-bottom: 0;
        }
        .property-row {
            display: flex;
            flex-wrap: wrap;
            align-items: baseline;
            border-bottom: 1px solid #e1e3e5;
            padding: 14px 0;
            font-size: 14px;
        }
        .property-label {
            width: 120px;
            color: #5c5f62;
            font-weight: 450;
        }
        .property-value {
            flex: 1;
            color: #202223;
            font-weight: 470;
        }
        .upload-placeholder {
            border: 1px dashed #b5b9bd;
            background: #f6f6f7;
            border-radius: 8px;
            padding: 18px 16px;
            display: flex;
            align-items: center;
            gap: 12px;
            color: #2c2d30;
            font-size: 14px;
            margin-top: 8px;
        }
        .upload-placeholder .icon {
            background: #ffffff;
            border-radius: 6px;
            padding: 6px 8px;
            border: 1px solid #cdd0d3;
        }
        .upload-row {
            display: flex;
            gap: 16px;
            align-items: center;
            flex-wrap: wrap;
        }
        .tag {
            background: #eef0f2;
            border-radius: 16px;
            padding: 4px 12px;
            font-size: 13px;
        }
        .price-large {
            font-size: 32px;
            font-weight: 400;
            color: #202223;
            letter-spacing: -0.4px;
        }
        .currency {
            font-size: 16px;
            color: #5c5f62;
        }
        hr {
            border: 0;
            border-top: 1px solid #e1e3e5;
            margin: 24px 0;
        }
        .mt-2 { margin-top: 8px; }
        .dim-meta { color: #5c5f62; font-size: 13px; }
    </style>
<div class=""product-card"">
<!-- subtle shopify header (for style) -->
<div class=""shopify-header"">
<svg fill=""#95bf47"" viewbox=""0 0 24 24"">
            <path d=""M19.3 4.7c-1-0.5-2.1-0.8-3.2-1-0.3-0.7-0.7-1.4-1.2-2-1.2-1.2-2.8-1.7-4.4-1.5-0.1 0-0.2 0-0.3 0-1.2 0.2-2.3 0.7-3.2 1.5-0.9 0.8-1.6 1.8-2 3-1 0.3-2 0.7-2.9 1.2-0.5 0.3-0.9 0.8-1 1.4 0 0.1 0 0.2 0 0.3l2.1 12.5c0 0.3 0.2 0.6 0.5 0.7 0.1 0 0.2 0 0.3 0l16.5-2.5c0.4 0 0.7-0.3 0.8-0.6l2.2-12.5c0-0.4-0.2-0.7-0.6-0.8-0.1 0-0.2 0-0.3 0-0.5-0.1-2.1-0.4-4.3-1.2zM13.1 3.1c1 0 2 0.4 2.8 1 0.3 0.3 0.5 0.6 0.7 0.9-1.2-0.2-2.4-0.3-3.6-0.2-1.2 0.1-2.4 0.3-3.6 0.7-0.1-0.1-0.2-0.2-0.3-0.3-0.4-0.5-0.6-1.1-0.6-1.7 0-0.4 0-0.9 0.2-1.3 0.1-0.3 0.3-0.5 0.5-0.7 0.6-0.4 1.3-0.6 2-0.5 0.8 0 1.6 0.3 2.2 0.9 0.4 0.4 0.7 0.9 0.9 1.5 0 0.1 0.1 0.2 0.2 0.2z""></path>
        </svg> <span>Shopify · Product description preview</span>
</div>
<div class=""product-main"">
<!-- title + active status -->
<div class=""title-section"">
<h1>Antique Small Bowl – Set of 2</h1>
<div class=""status-badge"">⚡ Active</div>
</div>
<!-- 2 column layout (left: main description / right: status & media) -->
<div class=""columns-2"">
<!-- LEFT column (long description & product org) -->
<div class=""left-column"">
<!-- Paragraph block with formatting toolbar (B I U A V) -->
<div style=""padding: 0; background: #ffffff;"" class=""meta-card"">
<div class=""editor-toolbar"">
<span>Paragraph</span>
<div class=""toolbar-icons"">
<i>B</i> <i>I</i> <i>U</i> <i>A</i> <i>V</i> <span style=""margin-left: 8px;"">···</span>
</div>
</div>
<div class=""rich-text-area"">
<p>These beautiful Small bowls come from antique family. These bowls are hand painted and hand crafted by the skilled artisans. The glaze is put by hands for the artisan made look. Produced in Multan. This bowl can be used for desserts, soups, and Raitas to enhance hospitality.</p>
<p><strong>Material:</strong> Ceramic<br><strong>Hand-glazed and hand-painted.</strong><br>Sold as set of 2. Lead-free.<br>Food, Oven, Microwave and Dishwasher Safe.<br>Made in Pakistan.<br><strong>Dimensions:</strong> Overall: 5'' Diameter X 3'' Depth</p>
<p style=""margin-top: 16px;""><strong>Shipping</strong><br>Courier will deliver most in-stock items within 2-3 business days.<br><strong>Free Delivery all over Pakistan.</strong></p>
<p style=""color: #3d4144;"">We are dealing in best quality products, as these are handmade and hand painted, there may be very minor difference in design and shape between the two. Brush strokes may appear on the back.</p>
</div>
</div>
<!-- Publishing / Online Store + Point of Sale -->
<div class=""meta-card"">
<h3>📦 Publishing</h3>
<div class=""property-row"">
<span class=""property-label"">Online Store</span> <span class=""property-value"">✅ Active</span>
</div>
<div class=""property-row"">
<span class=""property-label"">Point of Sale</span> <span class=""property-value"">✅ Available</span>
</div>
</div>
<!-- Product organization (type, vendor, collections, tags, template) -->
<div class=""meta-card"">
<h3>🏷️ Product organization</h3>
<div class=""property-row"">
<span class=""property-label"">Type</span> <span class=""property-value"">Decorative Bowl · Set</span>
</div>
<div class=""property-row"">
<span class=""property-label"">Vendor</span> <span class=""property-value"">Multan Artisan Collective</span>
</div>
<div style=""align-items: flex-start;"" class=""property-row"">
<span class=""property-label"">Collections</span> <span class=""property-value""> <span class=""tag"">Handmade Ceramics</span> <span class=""tag"">Antique Style</span><br><span style=""color: #116b6b; font-size: 13px;"">+ Upload new | Select existing</span></span>
<div style=""margin-top: 6px;"" class=""dim-meta"">Accepts images, videos, or 3D models</div>
</div>
<div class=""property-row"">
<span class=""property-label"">Tags</span> <span class=""property-value""> <span class=""tag"">hand-painted</span> <span class=""tag"">ceramic</span> <span class=""tag"">set of 2</span> <span class=""tag"">Multan</span> <span class=""tag"">antique</span> </span>
</div>
<div class=""property-row"">
<span class=""property-label"">Theme template</span> <span class=""property-value"">Default product</span>
</div>
</div>
</div>
<!-- RIGHT column (status, media, categories, price) -->
<div class=""right-column"">
<!-- Status (explicit block) -->
<div class=""meta-card"">
<h3>⚙️ Status</h3>
<div style=""display: flex; align-items: center; gap: 10px;"">
<span style=""background: #2e6b2e; width: 12px; height: 12px; border-radius: 10px;""></span> <span style=""font-weight: 500;"">Active</span>
</div>
<div style=""font-size: 13px; color: #5c5f62; margin-top: 10px;"">Product visible in store and POS</div>
</div>
<!-- Media block -->
<div class=""meta-card"">
<h3>🖼️ Media</h3>
<div class=""upload-placeholder"">
<span class=""icon"">📁</span> <span><strong>Upload new</strong> | Select existing</span>
</div>
<p style=""margin-top: 10px;"" class=""dim-meta"">Accepts images, videos, or 3D models</p>
</div>
<!-- Categories (decorative bowls etc) -->
<div class=""meta-card"">
<h3>📂 Categories</h3>
<div><span style=""background: #d8e2e6;"" class=""tag"">Decorative Bowls in Decor</span></div>
<p style=""margin-top: 10px;"" class=""dim-meta"">Determines tax rates and adds metafields to improve search, filters, and cross-channel sales</p>
</div>
<!-- Price -->
<div class=""meta-card"">
<h3>💰 Price</h3>
<div class=""price-large"">£44.00 <span class=""currency"">GBP</span>
</div>
<div style=""margin-top: 12px; font-size: 14px; color: #2c2d30;"">Compare at price: —</div>
</div>
<!-- mini summary (extra shipping note as per original brief) -->
<div style=""background: #f1f8f5; border-radius: 12px; padding: 14px; border-left: 4px solid #008060; font-size: 13px;"">✨ <strong>Free Delivery all over Pakistan</strong><br><span style=""color: #3f4346;"">Courier 2-3 business days. Handcrafted, minor variations may occur.</span>
</div>
</div>
</div>
<!-- Bottom section: exact replica of ""Media / Categories / Price"" in original image but already used; however we add a clean divider showing consistency with the image's lower part --><hr>
<!-- reprise of image lower block (media + categories + price horizontal strip style) – for completeness -->
<div style=""display: flex; gap: 32px; flex-wrap: wrap; align-items: flex-start; background: #f9fafb; padding: 20px; border-radius: 16px;"">
<div style=""min-width: 180px;"">
<div style=""font-weight: 500; margin-bottom: 6px;"">📸 Media</div>
<div class=""upload-row"">
<span class=""tag"">Upload new</span> <span class=""tag"">Select existing</span>
</div>
<span class=""dim-meta"">Accepts images, videos, or 3D models</span>
</div>
<div style=""min-width: 220px;"">
<div style=""font-weight: 500; margin-bottom: 6px;"">📌 Categories</div>
<div><span class=""tag"">Decorative Bowls in Decor</span></div>
<span class=""dim-meta"">Determines tax rates and adds metafields</span>
</div>
<div>
<div style=""font-weight: 500; margin-bottom: 6px;"">💷 Price</div>
<span style=""font-size: 28px;"" class=""price-large"">£44.00</span>
</div>
</div>
<!-- tiny footnote: original product organization details appear exactly as in image -->
<div style=""margin-top: 28px; border-top: 1px dashed #cdd0d3; padding: 16px 0 8px; color: #5c5f62; font-size: 13px; display: flex; gap: 30px; flex-wrap: wrap;"">
<span>🔹 Type: Decorative Bowl</span> <span>🔹 Vendor: Multan Artisan</span> <span>🔹 Collections: Handmade Ceramics, Antique</span> <span>🔹 Theme: Default product</span>
</div>
</div>
</div>",Royal Blue Potters,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Bowls,Blue Pottery,"Bowl, Small Bowl",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,44.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/7006/6210/files/4BFB1262-9788-4195-8636-72C96A19B9B6.jpg?v=1772728208,1,"",false,,,,,,,floral,,,,,ceramic,,,,,,,kg,,,active
blue-pattern-large-square-dish,Blue Pattern Large Square Dish,"<p>This ceramic ocean blue dish has a very unique square shape. It has lifted corners and is hand painted in traditional yet intricate pattern. The stoneware is handcrafted by the skilled artisans of Multan. This unique master piece can be used to present different food items at home to enhance the hospitality. </p>
<p><strong>Material</strong>: Ceramic</p>
<ul>
<li>Hand-glazed and hand-painted.</li>
</ul>
<ul>
<li>Sold as individually. </li>
</ul>
<ul>
<li>Lead-free.</li>
</ul>
<ul>
<li>Food, Oven, Microwave and Dishwasher Safe.</li>
</ul>
<ul>
<li>Made in Pakistan. </li>
</ul>
<p><strong>Dimensions: </strong>Overall:<span> 12</span>'' Diameter X 1'' Depth            </p>
<p><strong>Shipping</strong></p>
<p>Courier will deliver most in-stock items within 2-3 business days.</p>
<p>No Delivery Charges at all.</p>
<p>We are dealing in best quality products, as these are handmade and hand painted, there may be very minor difference in design and shape between the two. Brush strokes may appear on the back.</p>",My Store,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Platters,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,30.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/7006/6210/files/987276C9-CD89-406B-A775-371A0EBBDCB6.jpg?v=1771904444,1,"",false,,,,,,,,,,,,,,,,,,,kg,,17.83,active
blue-pattern-oval-dish,Blue Pattern Oval Dish,"<p>This piece of the ceramic dish is large in size and has an oval shape. Designed for bigger servings. It features an intricate pattern mixed with an abstract ocean blue undertone. Hand crafted by the skilled artisans of Multan. This beautiful dish can be used for presenting Rice, BBQ, and many more.</p>
<p><strong>Material</strong>: Ceramic</p>
<ul>
<li>Hand-glazed and hand-painted.</li>
</ul>
<ul>
<li>Sold as individually. </li>
</ul>
<ul>
<li>Lead-free.</li>
</ul>
<ul>
<li>Food, Oven, Microwave, and Dishwasher Safe.</li>
</ul>
<ul>
<li>Made in Pakistan.           </li>
</ul>
<p><strong>Dimensions:<span> </span></strong>15” L X 8'' W X 1.5'' Deep </p>
<p><strong>Shipping</strong></p>
<p>Courier will deliver most in-stock items within 2-3 business days.</p>
<p><strong>Free Delivery all over Pakistan.</strong></p>
<p><span>We are dealing in best quality products, as these are handmade and hand-painted, there may be very minor difference in design and shape between the two. Brushstrokes may appear on the back.</span></p>",My Store,Home & Garden > Kitchen & Dining > Tableware > Serveware,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,48.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/7006/6210/files/9198B970-B4F5-4840-93F0-A1205C17184C.jpg?v=1771904442,1,"",false,,,,,,,,,,,,,,,,,,,kg,,16.05,active
blue-pattern-small-serving-dish,Blue Pattern Small Serving Dish,"<p>This new rectangle-style dish gives a fresh appearance. This is a new arrival in our inventory. Hand-painted and handcrafted by skilled artisans. The glaze is put by hand for the artisan-made look and produced in Multan. This dish can be used for salads, rice, pasta, and BBQ many more dishes to enhance hospitality.</p>
<p><strong>Material</strong>: Ceramic</p>
<ul>
<li>Hand-glazed and hand-painted.</li>
</ul>
<ul>
<li>Sold Individually. </li>
</ul>
<ul>
<li>Lead-free.</li>
</ul>
<ul>
<li>Food, Oven, Microwave, and Dishwasher Safe.</li>
</ul>
<ul>
<li>Made in Pakistan. </li>
</ul>
<p><strong>Dimensions: </strong>Overall: 11'' Length X 7'' Wide X 1'' Deep                               </p>
<p><strong>Shipping</strong></p>
<p>Courier will deliver most in-stock items within 2-3 business days.</p>
<p>No Delivery Charges at all.</p>
<p>We are dealing in best quality products, as these are handmade and hand-painted, there may be minor differences in design and shape between the two. Brush strokes may appear on the back.</p>",My Store,Home & Garden > Kitchen & Dining > Tableware > Serveware,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,44.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/7006/6210/files/3B0FB537-9E28-4B0F-B37E-ABFB33D4AB42.jpg?v=1771904442,1,"",false,,,,,,,,,,,,,,,,,,,kg,,7.13,active
blue-pattern-medium-serving-dish,Blue Pattern Medium Serving Dish,"<p>This new rectangle-style dish gives a fresh appearance. This is a new arrival in our inventory. Hand-painted and handcrafted by skilled artisans. The glaze is put by hand for the artisan-made look and produced in Multan. This dish can be used for salads, rice, pasta, and BBQ many more dishes to enhance hospitality.</p>
<p><strong>Material</strong>: Ceramic</p>
<ul>
<li>Hand-glazed and hand-painted.</li>
</ul>
<ul>
<li>Sold Individually. </li>
</ul>
<ul>
<li>Lead-free.</li>
</ul>
<ul>
<li>Food, Oven, Microwave, and Dishwasher Safe.</li>
</ul>
<ul>
<li>Made in Pakistan. </li>
</ul>
<p><strong>Dimensions: </strong>Overall: 13'' Length X 8'' Wide X 2'' Deep                               </p>
<p><strong>Shipping</strong></p>
<p>Courier will deliver most in-stock items within 2-3 business days.</p>
<p>No Delivery Charges at all.</p>
<p>We are dealing in best quality products, as these are handmade and hand-painted, there may be minor differences in design and shape between the two. Brush strokes may appear on the back.</p>",My Store,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Platters,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,48.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/7006/6210/files/B62449F4-499D-4D48-8980-E399C85945C7.jpg?v=1771904441,1,"",false,,,,,,,,,,,,,,,,,,,kg,,10.70,active
blue-pattern-large-serving-dish,Blue Pattern Large Serving Dish,"<p>This new rectangle-style dish gives a fresh appearance. This is a new arrival in our inventory. Hand-painted and handcrafted by skilled artisans. The glaze is put by hand for the artisan-made look and produced in Multan. This dish can be used for salads, rice, pasta, and BBQ many more dishes to enhance hospitality.</p>
<p><strong>Material</strong>: Ceramic</p>
<ul>
<li>Hand-glazed and hand-painted.</li>
</ul>
<ul>
<li>Sold Individually. </li>
</ul>
<ul>
<li>Lead-free.</li>
</ul>
<ul>
<li>Food, Oven, Microwave, and Dishwasher Safe.</li>
</ul>
<ul>
<li>Made in Pakistan. </li>
</ul>
<p><strong>Dimensions: </strong>Overall: 15'' Length X 9'' Wide X 2'' Deep                               </p>
<p><strong>Shipping</strong></p>
<p>Courier will deliver most in-stock items within 2-3 business days.</p>
<p>No Delivery Charges at all.</p>
<p>We are dealing in best quality products, as these are handmade and hand-painted, there may be minor differences in design and shape between the two. Brush strokes may appear on the back.</p>",My Store,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Platters,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,50.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/7006/6210/files/867AC1C3-C793-44BE-93A4-605F4EF0436F.jpg?v=1771904440,1,"",false,,,,,,,,,,,,,,,,,,,kg,,14.26,active
blue-pattern-quarter-plate,Blue Pattern Quarter Plate,"<p>This new design Plate brings warmth and an appetizing ambiance to every meal. The handcrafted stoneware is glazed and painted by our professional artisans of Multan with a visible natural blue undertone which reflects the fine artistry of the skilled artisans.  </p>
<ul>
<li>Material: Ceramic</li>
<li>Hand-glazed and hand-painted.</li>
<li>Sold as individually. </li>
<li>Lead-free.</li>
<li>Food, Oven, Microwave, and Dishwasher Safe.</li>
<li>Made in Pakistan. </li>
</ul>
<p><strong>Dimensions: </strong>Overall: 8'' Diameter            </p>
<p><strong>Shipping</strong></p>
<p>Courier will deliver most in-stock items within 2-3 business days.</p>
<p><strong>Free Delivery all over Pakistan.</strong></p>
<p>We are dealing in the best quality products, as these are handmade and hand-painted, there may be very minor differences in design and shape between the two. Brushstrokes may appear on the back. </p>",My Store,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/7006/6210/files/54579BB5-810D-4A3A-B500-518E7B9BB84D.jpg?v=1771904439,1,"",false,,,,,,,,,,,,,,,,,,,kg,,3.56,active
blue-pattern-dinner-plate,Blue Pattern Dinner plate,"<p>This new design Plate brings warmth and an appetizing ambiance to every meal. The handcrafted stoneware is glazed and painted by our professional artisans of Multan with a visible natural blue undertone which reflects the fine artistry of the skilled artisans.  </p>
<ul>
<li>Material: Ceramic</li>
<li>Hand-glazed and hand-painted.</li>
<li>Sold as individually. </li>
<li>Lead-free.</li>
<li>Food, Oven, Microwave, and Dishwasher Safe.</li>
<li>Made in Pakistan. </li>
</ul>
<p><strong>Dimensions: </strong>Overall: 10'' Diameter            </p>
<p><strong>Shipping</strong></p>
<p>Courier will deliver most in-stock items within 2-3 business days.</p>
<p><strong>Free Delivery all over Pakistan.</strong></p>
<p>We are dealing in the best quality products, as these are handmade and hand-painted, there may be very minor differences in design and shape between the two. Brushstrokes may appear on the back. </p>",My Store,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,30.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/7006/6210/files/D061405E-4E93-44C8-BD1D-643B3C4625B7.jpg?v=1771904438,1,"",false,,,,,,,,,,,,,,,,,,,kg,,1199.00,active
kashmir-multi-medium-rectangle-dish,Kashmir Multi Medium Rectangle Dish,"<p>This new rectangle-style dish gives a fresh appearance. This is a new arrival in our inventory. Hand-painted and handcrafted by skilled artisans. The glaze is put by hand for the artisan-made look and produced in Multan. This dish can be used for salads, rice, pasta, and BBQ many more dishes to enhance hospitality.</p>
<p><strong>Material</strong>: Ceramic</p>
<ul>
<li>Hand-glazed and hand-painted.</li>
</ul>
<ul>
<li>Sold Individually. </li>
</ul>
<ul>
<li>Lead-free.</li>
</ul>
<ul>
<li>Food, Oven, Microwave, and Dishwasher Safe.</li>
</ul>
<ul>
<li>Made in Pakistan. </li>
</ul>
<p><strong>Dimensions: </strong>Overall: 13'' Length X 8'' Wide X 2'' Deep                               </p>
<p><strong>Shipping</strong></p>
<p>Courier will deliver most in-stock items within 2-3 business days.</p>
<p>No Delivery Charges at all.</p>
<p>We are dealing in best quality products, as these are handmade and hand-painted, there may be minor differences in design and shape between the two. Brush strokes may appear on the back.</p>",My Store,Home & Garden > Kitchen & Dining > Tableware > Serveware,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,48.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/7006/6210/files/6B441C03-A362-42F4-9FB4-737E0F88CF57.jpg?v=1771904437,1,"",false,,,,,,,,,,,,,,,,,,,kg,,10.70,active
